datetime,machineID,comp
2014-06-01 06:00:00,1,comp2
2014-07-16 06:00:00,1,comp4
2014-07-31 06:00:00,1,comp3
2014-12-13 06:00:00,1,comp1
2015-01-05 06:00:00,1,comp4
2015-01-05 06:00:00,1,comp1
2015-01-20 06:00:00,1,comp3
2015-01-20 06:00:00,1,comp1
2015-02-04 06:00:00,1,comp4
2015-02-04 06:00:00,1,comp3
2015-02-19 06:00:00,1,comp3
2015-03-06 06:00:00,1,comp1
2015-03-21 06:00:00,1,comp1
2014-06-16 06:00:00,2,comp1
2014-07-16 06:00:00,2,comp3
2014-08-15 06:00:00,2,comp2
2014-11-28 06:00:00,2,comp4
2015-01-18 06:00:00,2,comp4
2015-02-02 06:00:00,2,comp3
2015-02-17 06:00:00,2,comp3
2015-03-04 06:00:00,2,comp4
2015-03-19 06:00:00,2,comp2
2015-03-19 06:00:00,2,comp1
2014-06-16 06:00:00,3,comp3
2014-07-01 06:00:00,3,comp4
2014-08-15 06:00:00,3,comp1
2014-11-28 06:00:00,3,comp2
2015-01-07 06:00:00,3,comp2
2015-01-22 06:00:00,3,comp4
2015-02-06 06:00:00,3,comp1
2015-02-21 06:00:00,3,comp1
2015-02-21 06:00:00,3,comp3
2015-03-08 06:00:00,3,comp3
2015-03-08 06:00:00,3,comp2
2015-03-23 06:00:00,3,comp1
2014-06-16 06:00:00,4,comp2
2014-07-31 06:00:00,4,comp1
2014-11-13 06:00:00,4,comp3
2014-12-13 06:00:00,4,comp4
2015-01-17 06:00:00,4,comp2
2015-02-16 06:00:00,4,comp1
2015-03-03 06:00:00,4,comp1
2015-03-18 06:00:00,4,comp1
2015-03-18 06:00:00,4,comp3
2014-08-15 06:00:00,5,comp3
2014-08-30 06:00:00,5,comp2
2014-09-29 06:00:00,5,comp4
2014-10-14 06:00:00,5,comp1
2015-01-09 06:00:00,5,comp2
2015-01-24 06:00:00,5,comp2
2015-02-08 06:00:00,5,comp3
2015-02-23 06:00:00,5,comp4
